ID;Tipo;Texto;;;;;;;;;
74;no spam;Consulta las notas finales del semestre;;;;;;;;; 
75;no spam;Convocatoria para el programa de mentorías estudiantiles;;;;;;;;; 
76;no spam;Participa en el concurso de innovación educativa;;;;;;;;; 
77;no spam;Reunión de padres: cómo apoyar el aprendizaje en casa;;;;;;;;; 
78;no spam;Taller de orientación para nuevos estudiantes;;;;;;;;; 
79;no spam;Inscripción abierta para el curso de habilidades tecnológicas;;;;;;;;; 
80;no spam;Convocatoria para el club de robótica escolar;;;;;;;;; 
81;no spam;Fechas para la presentación de proyectos de fin de curso;;;;;;;;; 
82;no spam;Cómo usar herramientas digitales en el aula;;;;;;;;; 
83;no spam;Invitación al foro sobre equidad en la educación;;;;;;;;; 
84;no spam;Actualiza tu perfil para mejorar tu visibilidad;;;;;;;;; 
85;no spam;Nuevas funciones disponibles en tu cuenta de redes;;;;;;;;; 
86;no spam;Cómo crear contenido impactante en redes sociales;;;;;;;;; 
87;no spam;Descubre las tendencias más recientes en Instagram;;;;;;;;; 
88;no spam;Tu publicación ha alcanzado 1,000 interacciones;;;;;;;;; 
89;no spam;Crea anuncios personalizados para tu público;;;;;;;;; 
90;no spam;Mejora tu estrategia de marketing en redes sociales;;;;;;;;; 
91;no spam;Cómo ganar seguidores orgánicos de manera efectiva;;;;;;;;; 
92;no spam;Novedades en las herramientas de gestión de redes;;;;;;;;; 
93;no spam;Mejora la seguridad de tu cuenta con estos consejos;;;;;;;;;
94;no spam;Novedades exclusivas solo para ti;;;;;;;;;
95;no spam;Descubre nuestras Ãºltimas novedades;;;;;;;;;
96;no spam;Novedades exclusivas solo para ti;;;;;;;;;
97;no spam;Explora las mejores ofertas del mes;;;;;;;;;
98;no spam;Explora las mejores ofertas del mes;;;;;;;;;
99;no spam;Explora las mejores ofertas del mes;;;;;;;;;
100;no spam;Nuevos productos disponibles, entra y mira;;;;;;;;;
